Epochs : 220, train loss : 0.046450, train accurancy : 100.00, test accurancy : 84.17
Epochs : 221, train loss : 0.055879, train accurancy : 100.00, test accurancy : 85.09
Epochs : 222, train loss : 0.054012, train accurancy : 100.00, test accurancy : 84.26
Epochs : 223, train loss : 0.059781, train accurancy : 99.91, test accurancy : 85.00
Epochs : 224, train loss : 0.066745, train accurancy : 100.00, test accurancy : 85.19
Epochs : 225, train loss : 0.064110, train accurancy : 100.00, test accurancy : 85.00
Epochs : 226, train loss : 0.063128, train accurancy : 100.00, test accurancy : 84.35
Epochs : 227, train loss : 0.066460, train accurancy : 100.00, test accurancy : 85.46
Epochs : 228, train loss : 0.071172, train accurancy : 100.00, test accurancy : 84.17
Epochs : 229, train loss : 0.060927, train accurancy : 100.00, test accurancy : 85.28
Epochs : 230, train loss : 0.052442, train accurancy : 100.00, test accurancy : 84.54
Epochs : 231, train loss : 0.056000, train accurancy : 99.91, test accurancy : 84.63
Epochs : 232, train loss : 0.069734, train accurancy : 99.91, test accurancy : 85.56
Epochs : 233, train loss : 0.053790, train accurancy : 100.00, test accurancy : 83.80
Epochs : 234, train loss : 0.068585, train accurancy : 100.00, test accurancy : 85.46
Epochs : 235, train loss : 0.043642, train accurancy : 100.00, test accurancy : 84.44
Epochs : 236, train loss : 0.064824, train accurancy : 100.00, test accurancy : 85.09
Epochs : 237, train loss : 0.052831, train accurancy : 100.00, test accurancy : 85.28
Epochs : 238, train loss : 0.055655, train accurancy : 100.00, test accurancy : 83.98
Epochs : 239, train loss : 0.052276, train accurancy : 100.00, test accurancy : 84.26
Epochs : 240, train loss : 0.048727, train accurancy : 99.91, test accurancy : 84.26
Epochs : 241, train loss : 0.061024, train accurancy : 100.00, test accurancy : 84.54
Epochs : 242, train loss : 0.043076, train accurancy : 100.00, test accurancy : 84.91
Epochs : 243, train loss : 0.043945, train accurancy : 100.00, test accurancy : 84.81
Epochs : 244, train loss : 0.051157, train accurancy : 100.00, test accurancy : 84.72
Epochs : 245, train loss : 0.056495, train accurancy : 100.00, test accurancy : 85.56
Epochs : 246, train loss : 0.047555, train accurancy : 100.00, test accurancy : 85.56
Epochs : 247, train loss : 0.053914, train accurancy : 100.00, test accurancy : 85.28
Epochs : 248, train loss : 0.048879, train accurancy : 100.00, test accurancy : 84.72
Epochs : 249, train loss : 0.056476, train accurancy : 100.00, test accurancy : 85.46
Epochs : 250, train loss : 0.054193, train accurancy : 100.00, test accurancy : 84.35
Epochs : 251, train loss : 0.046625, train accurancy : 100.00, test accurancy : 84.44
Epochs : 252, train loss : 0.058874, train accurancy : 100.00, test accurancy : 84.54
Epochs : 253, train loss : 0.057684, train accurancy : 100.00, test accurancy : 85.74
Epochs : 254, train loss : 0.054897, train accurancy : 100.00, test accurancy : 84.63
Epochs : 255, train loss : 0.053040, train accurancy : 99.91, test accurancy : 84.44
Epochs : 256, train loss : 0.051078, train accurancy : 100.00, test accurancy : 85.46
Epochs : 257, train loss : 0.042446, train accurancy : 100.00, test accurancy : 85.74
Epochs : 258, train loss : 0.054251, train accurancy : 100.00, test accurancy : 85.56
Epochs : 259, train loss : 0.050142, train accurancy : 100.00, test accurancy : 85.28
Epochs : 260, train loss : 0.059757, train accurancy : 100.00, test accurancy : 85.65
Epochs : 261, train loss : 0.055377, train accurancy : 100.00, test accurancy : 84.63
Epochs : 262, train loss : 0.049415, train accurancy : 100.00, test accurancy : 84.81
Epochs : 263, train loss : 0.051847, train accurancy : 99.91, test accurancy : 84.91
Epochs : 264, train loss : 0.047479, train accurancy : 100.00, test accurancy : 85.09
Epochs : 265, train loss : 0.038979, train accurancy : 100.00, test accurancy : 84.72
Epochs : 266, train loss : 0.051777, train accurancy : 100.00, test accurancy : 85.09
Epochs : 267, train loss : 0.045310, train accurancy : 100.00, test accurancy : 85.28
Epochs : 268, train loss : 0.046313, train accurancy : 100.00, test accurancy : 84.63
Epochs : 269, train loss : 0.049056, train accurancy : 99.91, test accurancy : 83.98
Epochs : 270, train loss : 0.051058, train accurancy : 100.00, test accurancy : 83.80
Epochs : 271, train loss : 0.056228, train accurancy : 100.00, test accurancy : 85.28
Epochs : 272, train loss : 0.046243, train accurancy : 100.00, test accurancy : 85.83
Epochs : 273, train loss : 0.054751, train accurancy : 100.00, test accurancy : 86.02
